Year,Public,Private nonprofit,Private for-profit
2012–13,"$10,358.00","$37,603.00","$21,113.00"
2013–14,"$10,276.00","$38,760.00","$19,360.00"
2014–15,"$10,513.00","$39,748.00","$19,435.00"
2015–16,"$10,780.00","$40,760.00","$20,530.00"
2016–17,"$10,783.00","$41,385.00","$20,609.00"
2017–18,"$10,833.00","$41,886.00","$20,556.00"
2018–19,"$10,712.00","$42,628.00","$20,667.00"
2019–20,"$10,604.00","$43,021.00","$20,800.00"
2020–21,"$10,663.00","$43,194.00","$20,383.00"
2021–22,"$10,283.00","$41,871.00","$19,073.00"
2022–23,"$9,834.00","$40,713.00","$18,241.00"
