Graduation Year,Debt per Student,Debt in December 2025 Dollars
2025,"$39,550.00","$39,550.00"
2024,"$38,370.00","$39,400.00"
2023,"$37,090.00","$39,180.00"
2022,"$37,570.00","$41,030.00"
2021,"$37,110.00","$43,130.00"
2020,"$36,510.00","$45,420.00"
2019,"$35,210.00","$44,400.00"
2018,"$33,550.00","$43,270.00"
2017,"$32,090.00","$42,180.00"
2016,"$30,550.00","$41,000.00"
2015,"$29,140.00","$39,920.00"
2014,"$27,760.00","$38,310.00"
2013,"$26,270.00","$36,530.00"
2012,"$24,760.00","$34,950.00"
2011,"$23,240.00","$33,370.00"
2010,"$21,860.00","$32,320.00"
2009,"$20,470.00","$30,720.00"
2008,"$19,300.00","$29,750.00"
2007,"$18,230.00","$28,130.00"
