Quarter,Less than a high school diploma,"High school graduates, no college",Some college or associate degree,Bachelor's degree and higher,,
Q1 2000,365,503,590,886,,Citation
Q2 2000,368,506,592,887,,https://www.bls.gov/opub/ted/2025/median-weekly-earnings-by-educational-attainment-first-quarter-2025.htm
Q3 2000,356,506,600,896,,"
Median usual weekly earnings of full-time wage and salary workers age 25 years and over, by educational attainment, quarterly averages, not seasonally adjusted"
Q4 2000,357,506,600,894,,
Q1 2001,377,512,607,916,,
Q2 2001,387,519,614,912,,
Q3 2001,386,522,621,928,,
Q4 2001,380,531,628,927,,
Q1 2002,389,533,630,940,,
Q2 2002,390,532,634,939,,
Q3 2002,386,532,622,941,,
Q4 2002,388,542,631,943,,
Q1 2003,397,549,635,961,,
Q2 2003,394,547,638,969,,
Q3 2003,397,563,634,958,,
Q4 2003,397,556,648,967,,
Q1 2004,396,562,649,996,,
Q2 2004,404,576,664,973,,
Q3 2004,399,574,661,984,,
Q4 2004,404,581,667,996,,
Q1 2005,404,579,667,1013,,
Q2 2005,412,584,661,996,,
Q3 2005,413,583,678,1014,,
Q4 2005,407,585,674,1029,,
Q1 2006,420,592,691,1019,,
Q2 2006,420,591,676,1047,,
Q3 2006,420,602,701,1047,,
Q4 2006,415,597,700,1046,,
Q1 2007,429,602,710,1030,,
Q2 2007,440,597,704,1092,,
Q3 2007,422,610,707,1088,,
Q4 2007,424,610,697,1086,,
Q1 2008,435,615,715,1108,,
Q2 2008,449,620,727,1105,,
Q3 2008,471,618,725,1131,,
Q4 2008,459,619,719,1115,,
Q1 2009,450,620,726,1138,,
Q2 2009,465,630,719,1140,,
Q3 2009,448,621,720,1145,,
Q4 2009,449,638,735,1121,,
Q1 2010,448,624,738,1140,,
Q2 2010,440,629,737,1138,,
Q3 2010,449,622,732,1158,,
Q4 2010,438,633,727,1139,,
Q1 2011,444,633,736,1150,,
Q2 2011,458,643,743,1141,,
Q3 2011,459,636,731,1152,,
Q4 2011,444,641,744,1158,,
Q1 2012,450,653,754,1158,,
Q2 2012,483,659,754,1164,,
Q3 2012,464,648,736,1170,,
Q4 2012,478,647,752,1168,,
Q1 2013,457,651,741,1189,,
Q2 2013,477,647,751,1193,,
Q3 2013,479,659,747,1174,,
Q4 2013,468,648,752,1219,,
Q1 2014,480,660,756,1199,,
Q2 2014,492,666,757,1187,,
Q3 2014,488,681,762,1170,,
Q4 2014,491,664,771,1224,,
Q1 2015,478,669,758,1227,,
Q2 2015,499,678,757,1210,,
Q3 2015,492,672,773,1234,,
Q4 2015,502,690,757,1245,,
Q1 2016,494,679,782,1250,,
Q2 2016,499,690,767,1249,,
Q3 2016,504,700,779,1266,,
Q4 2016,519,698,790,1270,,
Q1 2017,512,702,791,1280,,
Q2 2017,515,718,799,1290,,
Q3 2017,522,714,801,1271,,
Q4 2017,531,714,800,1278,,
Q1 2018,563,713,808,1286,,
Q2 2018,554,726,825,1310,,
Q3 2018,556,736,826,1338,,
Q4 2018,543,746,853,1340,,
Q1 2019,578,739,835,1350,,
Q2 2019,588,751,848,1357,,
Q3 2019,606,749,874,1383,,
Q4 2019,596,747,870,1382,,
Q1 2020,609,768,879,1386,,
Q2 2020,630,788,904,1416,,
Q3 2020,642,793,914,1457,,
Q4 2020,608,781,917,1421,,
Q1 2021,613,792,912,1426,,
Q2 2021,620,793,915,1438,,
Q3 2021,633,817,942,1474,,
Q4 2021,651,831,931,1467,,
Q1 2022,670,827,938,1525,,
Q2 2022,689,838,961,1547,,
Q3 2022,692,866,993,1556,,
Q4 2022,675,875,983,1547,,
Q1 2023,682,884,995,1621,,
Q2 2023,713,889,1010,1588,,
Q3 2023,721,905,1012,1620,,
Q4 2023,713,917,1058,1608,,
Q1 2024,718,901,1027,1680,,
Q2 2024,726,916,1057,1684,,
Q3 2024,734,946,1053,1697,,
Q4 2024,776,977,1089,1705,,
Q1 2025,743,953,1096,1754,,
